ID,NDVI,NDRE,E,N
413,0.0543989,0.0761073,336551.295,4451862.229
414,-0.0712936,0.0455828,336556.295,4451862.229
415,0.0596483,0.0319585,336571.295,4451862.229
416,-0.1122152,0.0736737,336576.295,4451862.229
417,-0.0590772,0.0575171,336581.295,4451862.229
418,-0.0988974,0.0371163,336586.295,4451862.229
419,-0.0541446,0.0427014,336591.295,4451862.229
420,0.0598531,0.042601,336596.295,4451862.229
421,-0.0586668,0.0576621,336386.295,4451857.229
422,-0.0055175,0.0514847,336391.295,4451857.229
423,0.0964195,0.0692389,336396.295,4451857.229
424,-0.0804738,0.0521734,336401.295,4451857.229
425,0.159245,0.0903533,336406.295,4451857.229
426,-0.026701,0.0572036,336411.295,4451857.229
427,0.0092275,0.0826145,336416.295,4451857.229
428,-0.0879027,0.0686159,336426.295,4451857.229
429,-0.0272951,0.1013422,336436.295,4451857.229
430,-0.0509072,0.0778179,336441.295,4451857.229
431,0.0276808,0.0680714,336446.295,4451857.229
432,-0.0698831,0.0575386,336456.295,4451857.229
433,-0.1014056,0.0589275,336461.295,4451857.229
434,-0.0022443,0.1090985,336466.295,4451857.229
435,-0.0356734,0.0579079,336476.295,4451857.229
436,-0.0382046,0.0508977,336481.295,4451857.229
437,0.0099413,0.0443317,336491.295,4451857.229
438,-0.0540494,0.036157,336496.295,4451857.229
439,-0.0372263,0.0446721,336506.295,4451857.229
440,-0.1290282,0.0303235,336526.295,4451857.229
441,0.0890553,0.089642,336531.295,4451857.229
442,0.0658632,0.079567,336536.295,4451857.229
443,0.1352441,0.0740688,336541.295,4451857.229
444,0.0047869,0.0661235,336546.295,4451857.229
445,0.0380522,0.097708,336551.295,4451857.229
446,-0.0606156,0.0483617,336556.295,4451857.229
447,-0.0665161,0.0632638,336566.295,4451857.229
448,0.0607093,0.0685447,336571.295,4451857.229
449,0.1623905,0.0920008,336576.295,4451857.229
450,-0.083748,0.046252,336581.295,4451857.229
451,-0.0232756,0.0581275,336586.295,4451857.229
452,-0.0728028,0.0387217,336591.295,4451857.229
453,0.0828541,0.0528695,336596.295,4451857.229
454,0.0698819,0.0537542,336391.295,4451852.229
455,-0.004713,0.0459507,336396.295,4451852.229
456,-0.0161552,0.0698783,336401.295,4451852.229
457,-0.0042568,0.0680734,336406.295,4451852.229
458,0.0555957,0.0731542,336411.295,4451852.229
459,-0.1198961,0.066258,336416.295,4451852.229
460,-0.0229237,0.0710843,336421.295,4451852.229
461,-0.1237901,0.0789487,336426.295,4451852.229
462,-0.1277619,0.0254662,336431.295,4451852.229
463,-0.1020857,0.0871911,336436.295,4451852.229
464,-0.0416476,0.0782826,336441.295,4451852.229
465,-0.0111176,0.0797998,336446.295,4451852.229
466,-0.0900735,0.0279283,336461.295,4451852.229
467,0.0877051,0.0772911,336466.295,4451852.229
468,-0.1197343,0.0257458,336481.295,4451852.229
469,-0.1467526,0.0257892,336491.295,4451852.229
470,-0.0901945,0.0431168,336501.295,4451852.229
471,-0.0603065,0.0482086,336506.295,4451852.229
472,0.1083781,0.0489686,336511.295,4451852.229
473,-0.1481826,0.0537996,336526.295,4451852.229
474,-0.0451899,0.0583696,336531.295,4451852.229
475,-0.081792,0.0418122,336536.295,4451852.229
476,0.054784,0.0863979,336541.295,4451852.229
477,-0.0208271,0.0790782,336551.295,4451852.229
478,-0.0250001,0.0672685,336556.295,4451852.229
479,-0.0362833,0.0626942,336561.295,4451852.229
480,-0.0877975,0.0595875,336566.295,4451852.229
481,-0.0234219,0.1011763,336576.295,4451852.229
482,-0.0142114,0.076254,336581.295,4451852.229
483,-0.0387567,0.0408417,336586.295,4451852.229
484,-0.0526177,0.068045,336591.295,4451852.229
